AIDS	AIDS	eɪdz	ai-eɪ,d-d,s-z	SUFFIX_NONE	NULL	aids	4	3	1	19384
AM	AM	æm	a-æ,m-m	SUFFIX_NONE	NULL	am	2	2	1	34451
African	African	ˈæ.frɪ.kən	a-æ,f-f,r-r,i-ɪ,c-k,a-ə,n-n	SUFFIX_NONE	NULL	a.fri.can	7	7	3	34557
African's	African	ˈæ.frɪ.kənz	a-æ,f-f,r-r,i-ɪ,c-k,a-ə,n-n,'-,s-z	SUFFIX_ADD	's	a.fri.can's	9	9	3	34557
African-American	African-American	ˈæ.frɪ.kən.ə.ˈme.rɪ.kən	a-æ,f-f,r-r,i-ɪ,c-k,a-ə,n-n,--,a-ə,m-m,e-e,r-r,i-ɪ,c-k,a-ə,n-n	SUFFIX_NONE	NULL	a.fri.can.a.me.ri.can	16	16	7	9121
Africans	African	ˈæ.frɪ.kənz	a-æ,f-f,r-r,i-ɪ,c-k,a-ə,n-n,s-z	SUFFIX_ADD	s	a.fri.cans	8	8	3	34557
American	American	ə.ˈme.rɪ.kən	a-ə,m-m,e-e,r-r,i-ɪ,c-k,a-ə,n-n	SUFFIX_NONE	NULL	a.me.ri.can	8	8	4	214968
American's	American	ə.ˈme.rɪ.kənz	a-ə,m-m,e-e,r-r,i-ɪ,c-k,a-ə,n-n,'-,s-z	SUFFIX_ADD	's	a.me.ri.can's	10	10	4	214968
Americans	American	ə.ˈme.rɪ.kənz	a-ə,m-m,e-e,r-r,i-ɪ,c-k,a-ə,n-n,s-z	SUFFIX_ADD	s	a.me.ri.cans	9	9	4	214968
Arab	Arab	ˈæ.rəb	a-æ,r-r,a-ə,b-b	SUFFIX_NONE	NULL	a.rab	4	4	2	16732
Arab's	Arab	ˈæ.rəbz	a-æ,r-r,a-ə,b-b,'-,s-z	SUFFIX_ADD	's	a.rab's	6	6	2	16732
Arabs	Arab	ˈæ.rəbz	a-æ,r-r,a-ə,b-b,s-z	SUFFIX_ADD	s	a.rabs	5	5	2	16732
Asian	Asian	ˈeɪ.ʒən	a-eɪ,si-ʒ,a-ə,n-n	SUFFIX_NONE	NULL	a.sian	5	4	2	14873
Asian's	Asian	ˈeɪ.ʒənz	a-eɪ,si-ʒ,a-ə,n-n,'-,s-z	SUFFIX_ADD	's	a.sian's	7	6	2	14873
Asians	Asian	ˈeɪ.ʒənz	a-eɪ,si-ʒ,a-ə,n-n,s-z	SUFFIX_ADD	s	a.sians	6	5	2	14873
Bible	Bible	ˈbaɪ.bəl	b-b,i-aɪ,b-b,le-əl	SUFFIX_NONE	NULL	bi.ble	5	4	2	11539
British	British	ˈbrɪt.ɪʃ	b-b,r-r,i-ɪ,t-t,i-ɪ,sh-ʃ	SUFFIX_NONE	NULL	brit.ish	7	6	2	32929
Britisher	British	ˈbrɪt.ɪʃ.ə	b-b,r-r,i-ɪ,t-t,i-ɪ,sh-ʃ,er-ə	SUFFIX_ADD	er	brit.ish.er	9	7	3	32929
Britishly	British	ˈbrɪt.ɪʃ.li	b-b,r-r,i-ɪ,t-t,i-ɪ,sh-ʃ,l-l,y-i	SUFFIX_ADD	ly	brit.ish.ly	9	8	3	5001
Britishness	British	ˈbrɪt.ɪʃ.nəs	b-b,r-r,i-ɪ,t-t,i-ɪ,sh-ʃ,n-n,e-ə,ss-s	SUFFIX_ADD	ness	brit.ish.ness	11	9	3	32929
CEO	CEO	ˌsiː.iː.ˈəʊ	c-siː,e-iː,o-əʊ	SUFFIX_NONE	NULL	c.e.o	3	3	3	13956
Canadian	Canadian	kə.ˈneɪ.dɪ.ən	c-k,a-ə,n-n,a-eɪ,d-d,i-ɪ,a-ə,n-n	SUFFIX_NONE	NULL	ca.na.di.an	8	8	4	12820
Canadians	Canadian	kə.ˈneɪ.dɪ.ənz	c-k,a-ə,n-n,a-eɪ,d-d,i-ɪ,a-ə,n-n,s-z	SUFFIX_ADD	s	ca.na.di.ans	9	9	4	12820
Catholic	Catholic	ˈkæθ.ə.lɪk	c-k,a-æ,th-θ,o-ə,l-l,i-ɪ,c-k	SUFFIX_NONE	NULL	cath.o.lic	8	7	3	20866
Chinese	Chinese	tʃaɪ.ˈniːz	ch-tʃ,i-aɪ,n-n,e.e-iː,s-z	SUFFIX_NONE	NULL	chi.nese	7	5	2	32334
Chinese's	Chinese	tʃaɪ.ˈniːzɪz	ch-tʃ,i-aɪ,n-n,e-iː,s-z,e-ɪ,'-,s-z	SUFFIX_ADD	's	chi.nese's	9	8	2	32334
Christian	Christian	ˈkrɪs.tʃən	ch-k,r-r,i-ɪ,s-s,ti-tʃ,a-ə,n-n	SUFFIX_NONE	NULL	chris.tian	9	7	2	30726
Christian's	Christian	ˈkrɪs.tʃənz	ch-k,r-r,i-ɪ,s-s,ti-tʃ,a-ə,n-n,'-,s-z	SUFFIX_ADD	's	chris.tian's	11	9	2	30726
Christianity	Christianity	ˌkrɪs.tɪ.ˈæn.ɪ.tɪ	ch-k,r-r,i-ɪ,s-s,t-t,i-ɪ,a-æ,n-n,i-ɪ,t-t,y-ɪ	SUFFIX_NONE	NULL	chris.ti.an.i.ty	12	11	5	6312
Christians	Christian	ˈkrɪs.tʃənz	ch-k,r-r,i-ɪ,s-s,ti-tʃ,a-ə,n-n,s-z	SUFFIX_ADD	s	chris.tians	10	8	2	30726
Christmas	Christmas	ˈkrɪs.məs	ch-k,r-r,i-ɪ,st-s,m-m,a-ə,s-s	SUFFIX_NONE	NULL	christ.mas	9	7	2	28046
Christmas's	Christmas	ˈkrɪs.mə.sɪz	ch-k,r-r,i-ɪ,st-s,m-m,a-ə,s-s,'-,s-ɪz	SUFFIX_ADD	's	christ.ma.s's	11	9	3	28046
Christmases	Christmas	ˈkrɪs.mə.sɪz	ch-k,r-r,i-ɪ,st-s,m-m,a-ə,s-s,e-ɪ,s-z	SUFFIX_ADD	es	christ.ma.ses	11	9	3	28046
Congress	Congress	ˈkɒŋ.ɡres	c-k,o-ɒ,n-ŋ,g-ɡ,r-r,e-e,ss-s	SUFFIX_NONE	NULL	con.gress	8	7	2	62841
Cuban	Cuban	ˈkjuː.bən	c-k,u-juː,b-b,a-ə,n-n	SUFFIX_NONE	NULL	cu.ban	5	5	2	6601
Cubans	Cuban	ˈkjuː.bənz	c-k,u-juː,b-b,a-ə,n-n,s-z	SUFFIX_ADD	s	cu.bans	6	6	2	6601
DNA	DNA	ˌdi:.ˌen.ˈeɪ	d-d,n-,a-i:e,n-neɪ	SUFFIX_NONE	NULL	dna.n	3	4	3	11580
Democrat	Democrat	ˈde.mə.kræt	d-d,e-e,m-m,o-ə,c-k,r-r,a-æ,t-t	SUFFIX_NONE	NULL	de.mo.crat	8	8	3	46905
Dutch	Dutch	dʌtʃ	d-d,u-ʌ,tch-tʃ	SUFFIX_NONE	NULL	dutch	5	3	1	6690
English	English	ˈɪŋ.lɪʃ	e-ɪ,ng-ŋ,l-l,i-ɪ,sh-ʃ	SUFFIX_NONE	NULL	eng.lish	7	5	2	20235
English's	English	ˈɪŋ.lɪʃɪz	e-ɪ,ng-ŋ,l-l,i-ɪ,sh-ʃ,'-,s-ɪz	SUFFIX_ADD	's	eng.lish's	9	7	2	20235
European	European	ˌjʊə.rə.ˈpɪ.ən	eu-jʊə,r-r,o-ə,p-p,e-ɪ,a-ə,n-n	SUFFIX_NONE	NULL	eu.ro.pe.an	8	7	4	31455
European's	European	ˌjʊə.rə.ˈpɪ.ənz	eu-jʊə,r-r,o-ə,p-p,e-ɪ,a-ə,n-n,'-,s-z	SUFFIX_ADD	's	eu.ro.pe.an's	10	9	4	31455
Europeans	European	ˌjʊə.rə.ˈpɪ.ənz	eu-jʊə,r-r,o-ə,p-p,e-ɪ,a-ə,n-n,s-z	SUFFIX_ADD	s	eu.ro.pe.ans	9	8	4	31455
French	French	frentʃ	f-f,r-r,e-e,n-n,ch-tʃ	SUFFIX_NONE	NULL	french	6	5	1	27590
French's	French	ˈfren.tʃəz	f-f,r-r,e-e,n-n,ch-tʃ,'-,s-əz	SUFFIX_ADD	's	fren.ch's	8	7	2	27590
German	German	ˈdʒɜː.mən	g-dʒ,er-ɜː,m-m,a-ə,n-n	SUFFIX_NONE	NULL	ger.man	6	5	2	20096
German's	German	ˈdʒɜː.mənz	g-dʒ,er-ɜː,m-m,a-ə,n-n,'-,s-z	SUFFIX_ADD	's	ger.man's	8	7	2	20096
Germans	German	ˈdʒɜː.mənz	g-dʒ,er-ɜː,m-m,a-ə,n-n,s-z	SUFFIX_ADD	s	ger.mans	7	6	2	20096
God	God	ɡɒd	g-ɡ,o-ɒ,d-d	SUFFIX_NONE	NULL	god	3	3	1	9694
Greek	Greek	ɡriːk	g-ɡ,r-r,ee-iː,k-k	SUFFIX_NONE	NULL	greek	5	4	1	6642
Greek's	Greek	ɡriːks	g-ɡ,r-r,ee-iː,k-k,'-,s-s	SUFFIX_ADD	's	greek's	7	6	1	6642
Greeks	Greek	ɡriːks	g-ɡ,r-r,ee-iː,k-k,s-s	SUFFIX_ADD	s	greeks	6	5	1	6642
Hispanic	Hispanic	hɪ.ˈspæ.nɪk	h-h,i-ɪ,s-s,p-p,a-æ,n-n,i-ɪ,c-k	SUFFIX_NONE	NULL	hi.spa.nic	8	8	3	8690
Hispanic's	Hispanic	hɪ.ˈspæ.nɪks	h-h,i-ɪ,s-s,p-p,a-æ,n-n,i-ɪ,c-k,'-,s-s	SUFFIX_ADD	's	hi.spa.nic's	10	10	3	8690
Hispanics	Hispanic	hɪ.ˈspæ.nɪks	h-h,i-ɪ,s-s,p-p,a-æ,n-n,i-ɪ,c-k,s-s	SUFFIX_ADD	s	hi.spa.nics	9	9	3	8690
I	I	ˈaɪ	i-aɪ	SUFFIX_NONE	NULL	i	1	1	1	3978265
Indian	Indian	ˈɪn.dɪən	i-ɪ,n-n,d-d,i-ɪ,a-ə,n-n	SUFFIX_NONE	NULL	in.dian	6	6	2	27100
Indian's	Indian	ˈɪn.diənz	i-ɪ,n-n,d-d,i-i,a-ə,n-n,'-,s-z	SUFFIX_ADD	's	in.dian's	8	8	2	27100
Indians	Indian	ˈɪn.dɪənz	i-ɪ,n-n,d-d,i-ɪ,a-ə,n-n,s-z	SUFFIX_ADD	s	in.dians	7	7	2	27100
Internet	Internet	ˈɪn.tər.net	i-ɪ,n-n,t-t,e-ə,r-r,n-n,e-e,t-t	SUFFIX_NONE	NULL	in.ter.net	8	8	3	26983
Internet's	Internet	ˈɪn.tərˌ.nets	i-ɪ,n-n,t-t,e-ə,r-r,n-n,e-e,t-t,'-,s-s	SUFFIX_ADD	's	in.ter.net's	10	10	3	26983
Iraqi	Iraqi	ɪ.ˈrɑː.ki	i-ɪ,r-r,a-ɑː,q-k,i-i	SUFFIX_NONE	NULL	i.ra.qi	5	5	3	25446
Iraqi's	Iraqi	ɪ.ˈræ.kiz	i-ɪ,r-r,a-æ,q-k,i-i,'-,s-z	SUFFIX_ADD	's	i.ra.qi's	7	7	3	25446
Iraqis	Iraqi	ɪ.ˈrɑː.kɪz	i-ɪ,r-r,a-ɑː,q-k,i-ɪ,s-z	SUFFIX_ADD	s	i.ra.qis	6	6	3	25446
Irish	Irish	ˈaɪ.rɪʃ	i-aɪ,r-r,i-ɪ,sh-ʃ	SUFFIX_NONE	NULL	i.rish	5	4	2	10833
Islam	Islam	ˈɪz.lɑːm	i-ɪ,s-z,l-l,a-ɑː,m-m	SUFFIX_NONE	NULL	is.lam	5	5	2	8755
Islam's	Islam	ˌɪs.ˈlɑːmz	i-ɪ,s-s,l-l,a-ɑː,m-m,'-,s-z	SUFFIX_ADD	's	is.lam's	7	7	2	8755
Islamic	Islamic	ɪz.ˈlæ.mɪk	i-ɪ,s-z,l-l,a-æ,m-m,i-ɪ,c-k	SUFFIX_NONE	NULL	is.la.mic	7	7	3	13323
Israeli	Israeli	ɪz.ˈreɪ.li	i-ɪ,s-z,r-r,ae-eɪ,l-l,i-i	SUFFIX_NONE	NULL	is.rae.li	7	6	3	17967
Israeli's	Israeli	ˌɪz.ˈreɪ.liz	i-ɪ,s-z,r-r,ae-eɪ,l-l,i-i,'-,s-z	SUFFIX_ADD	's	is.rae.li's	9	8	3	17967
Israelis	Israeli	ɪz.ˈreɪ.lɪz	i-ɪ,s-z,r-r,ae-eɪ,l-l,i-ɪ,s-z	SUFFIX_ADD	s	is.rae.lis	8	7	3	17967
Italian	Italian	ɪ.ˈtæ.ljən	i-ɪ,t-t,a-æ,l-l,i-j,a-ə,n-n	SUFFIX_NONE	NULL	i.ta.lian	7	7	3	12384
Italian's	Italian	ɪ.ˈtæ.ljənz	i-ɪ,t-t,a-æ,l-l,i-j,a-ə,n-n,'-,s-z	SUFFIX_ADD	's	i.ta.lian's	9	9	3	12384
Italians	Italian	ɪ.ˈtæ.ljənz	i-ɪ,t-t,a-æ,l-l,i-j,a-ə,n-n,s-z	SUFFIX_ADD	s	i.ta.lians	8	8	3	12384
Japanese	Japanese	ˌdʒæ.pə.ˈniːz	j-dʒ,a-æ,p-p,a-ə,n-n,e.e-iː,s-z	SUFFIX_NONE	NULL	ja.pa.nese	8	7	3	21800
Japanese's	Japanese	ˌdʒæ.pə.ˈniːzɪz	j-dʒ,a-æ,p-p,a-ə,n-n,e-iː,s-z,e-ɪ,'-,s-z	SUFFIX_ADD	's	ja.pa.nese's	10	10	3	21800
Jew	Jew	dʒuː	j-dʒ,ew-uː	SUFFIX_NONE	NULL	jew	3	2	1	17893
Jew's	Jew	dʒuːz	j-dʒ,ew-uː,'-,s-z	SUFFIX_ADD	's	jew's	5	4	1	17893
Jewish	Jewish	ˈdʒuː.ɪʃ	j-dʒ,ew-uː,i-ɪ,sh-ʃ	SUFFIX_NONE	NULL	jew.ish	6	4	2	20196
Jewishness	Jewish	ˈdʒuː.ˌɪʃ.nəs	j-dʒ,ew-uː,i-ɪ,sh-ʃ,n-n,e-ə,ss-s	SUFFIX_ADD	ness	jew.ish.ness	10	7	3	20196
Jews	Jew	dʒuːz	j-dʒ,ew-uː,s-z	SUFFIX_ADD	s	jews	4	3	1	17893
Korean	Korean	kə.ˈrɪ.ən	k-k,o-ə,r-r,e-ɪ,a-ə,n-n	SUFFIX_NONE	NULL	ko.re.an	6	6	3	8441
Koreans	Korean	kə.ˈrɪ.ənz	k-k,o-ə,r-r,e-ɪ,a-ə,n-n,s-z	SUFFIX_ADD	s	ko.re.ans	7	7	3	8441
Latin	Latin	ˈlæ.tɪn	l-l,a-æ,t-t,i-ɪ,n-n	SUFFIX_NONE	NULL	la.tin	5	5	2	13797
Latin's	Latin	ˈlæ.tɪnz	l-l,a-æ,t-t,i-ɪ,n-n,'-,s-z	SUFFIX_ADD	's	la.tin's	7	7	2	13797
Mexican	Mexican	ˈmek.sɪ.kən	m-m,e-e,x-ks,i-ɪ,c-k,a-ə,n-n	SUFFIX_NONE	NULL	mex.i.can	7	7	3	15514
Mexicans	Mexican	ˈmek.sɪ.kənz	m-m,e-e,x-ks,i-ɪ,c-k,a-ə,n-n,s-z	SUFFIX_ADD	s	mex.i.cans	8	8	3	15514
Mr	Mr	ˈmɪ.stə	m-mɪstə,r-	SUFFIX_NONE	NULL	mr	2	2	2	188555
Mr's	Mr	ˈmɪ.stəz	m-mɪ,r'-,s-stəz	SUFFIX_ADD	's	mr'.s	4	3	2	188555
Mrs	Mrs	ˈmɪ.sɪz	m-mɪ,r-,s-sɪz	SUFFIX_NONE	NULL	mr.s	3	3	2	40545
Ms	Ms	mɪz	m-mɪ,s-z	SUFFIX_NONE	NULL	ms	2	2	1	31610
Muslim	Muslim	ˈmʊz.lɪm	m-m,u-ʊ,s-z,l-l,i-ɪ,m-m	SUFFIX_NONE	NULL	mus.lim	6	6	2	13147
Muslim's	Muslim	ˈmʊz.lɪmz	m-m,u-ʊ,s-z,l-l,i-ɪ,m-m,'-,s-z	SUFFIX_ADD	's	mus.lim's	8	8	2	13147
Muslims	Muslim	ˈmʊz.lɪmz	m-m,u-ʊ,s-z,l-l,i-ɪ,m-m,s-z	SUFFIX_ADD	s	mus.lims	7	7	2	13147
OK	OK	ˌəʊˈk.eɪ	o-əʊ,k-keɪ	SUFFIX_NONE	NULL	ok	2	2	2	10733
OK's	OK	ˌəʊˈk.eɪz	o-əʊ,k-keɪ,'-,s-z	SUFFIX_ADD	's	ok	4	4	2	10733
OKs	OK	<oks>	NULL	SUFFIX_ADD	s	oks	3	1	1	10733
Olympic	Olympic	ə.ˈlɪm.pɪk	o-ə,l-l,y-ɪ,m-m,p-p,i-ɪ,c-k	SUFFIX_NONE	NULL	o.lym.pic	7	7	3	13072
Olympics	Olympics	ə.ˈlɪm.pɪks	o-ə,l-l,y-ɪ,m-m,p-p,i-ɪ,c-k,s-s	SUFFIX_NONE	NULL	o.lym.pics	8	8	3	8039
PC	PC	ˌpiː.ˈsiː	p-piː,c-siː	SUFFIX_NONE	NULL	p.c	2	2	2	11072
PC's	PC	ˌpiː.ˈsiːz	p-piː,c-siː,'-,s-z	SUFFIX_ADD	's	p.c's	4	4	2	11072
PCs	PC	<pcs>	NULL	SUFFIX_ADD	s	pcs	3	1	1	11072
PM	PM	ˌpiː.ˈem	p-piːe,m-m	SUFFIX_NONE	NULL	p	2	2	2	54765
PM's	PM	ˌpiː.ˈemz	p-piːe,m-m,'-,s-z	SUFFIX_ADD	's	p	4	4	2	54765
Palestinian	Palestinian	ˌpæl.ə.ˈstɪn.ɪ.ən	p-p,a-æ,l-l,e-ə,s-s,t-t,i-ɪ,n-n,i-ɪ,a-ə,n-n	SUFFIX_NONE	NULL	pal.e.stin.i.an	11	11	5	14008
Palestinians	Palestinian	ˌpæl.ə.ˈstɪn.ɪ.ənz	p-p,a-æ,l-l,e-ə,s-s,t-t,i-ɪ,n-n,i-ɪ,a-ə,n-n,s-z	SUFFIX_ADD	s	pal.e.stin.i.ans	12	12	5	14008
Persian	Persian	ˈpɜː.ʃən	p-p,er-ɜː,si-ʃ,a-ə,n-n	SUFFIX_NONE	NULL	per.sian	7	5	2	6340
Persian's	Persian	ˈpɜː.ʃənz	p-p,er-ɜː,si-ʃ,a-ə,n-n,'-,s-z	SUFFIX_ADD	's	per.sian's	9	7	2	6340
Persians	Persian	ˈpɜː.ʃənz	p-p,er-ɜː,si-ʃ,a-ə,n-n,s-z	SUFFIX_ADD	s	per.sians	8	6	2	6340
Republican	Republican	rɪ.ˈpʌ.blɪ.kən	r-r,e-ɪ,p-p,u-ʌ,b-b,l-l,i-ɪ,c-k,a-ə,n-n	SUFFIX_NONE	NULL	re.pu.bli.can	10	10	4	71611
Roman	Roman	ˈrəʊ.mən	r-r,o-əʊ,m-m,a-ə,n-n	SUFFIX_NONE	NULL	ro.man	5	5	2	8299
Roman's	Roman	ˈrəʊ.mənz	r-r,o-əʊ,m-m,a-ə,n-n,'-,s-z	SUFFIX_ADD	's	ro.man's	7	7	2	8299
Romans	Roman	ˈrəʊ.mənz	r-r,o-əʊ,m-m,a-ə,n-n,s-z	SUFFIX_ADD	s	ro.mans	6	6	2	8299
Russian	Russian	ˈrʌ.ʃən	r-r,u-ʌ,ssi-ʃ,a-ə,n-n	SUFFIX_NONE	NULL	rus.sian	7	5	2	23739
Russian's	Russian	ˈrə.ʃənz	r-r,u-ə,ssi-ʃ,a-ə,n-n,'-,s-z	SUFFIX_ADD	's	rus.sian's	9	7	2	23739
Russians	Russian	ˈrʌ.ʃənz	r-r,u-ʌ,ssi-ʃ,a-ə,n-n,s-z	SUFFIX_ADD	s	rus.sians	8	6	2	23739
Senate	Senate	ˈse.nɪt	s-s,e-e,n-n,a-ɪ,t-t,e-	SUFFIX_NONE	NULL	se.nate	6	6	2	36809
Soviet	Soviet	ˈsəʊ.vɪət	s-s,o-əʊ,v-v,i-ɪ,e-ə,t-t	SUFFIX_NONE	NULL	so.viet	6	6	2	36193
Spanish	Spanish	ˈspæ.nɪʃ	s-s,p-p,a-æ,n-n,i-ɪ,sh-ʃ	SUFFIX_NONE	NULL	spa.nish	7	6	2	15512
Spanish's	Spanish	ˈspæ.nɪʃ.ɪz	s-s,p-p,a-æ,n-n,i-ɪ,sh-ʃ,'-,s-ɪz	SUFFIX_ADD	's	spa.nish.'s	9	8	3	15512
Supreme	Supreme	suː.ˈpriːm	s-s,u-uː,p-p,r-r,e.e-iː,m-m	SUFFIX_NONE	NULL	su.preme	7	6	2	23904
T-shirt	T-shirt	ˈtiː.ʃɜrt	t-tiː,--,sh-ʃ,ir-ɜr,t-t	SUFFIX_NONE	NULL	t.shirt	7	5	2	8386
TV	TV	ˌtiː.ˈviː	t-tiː,v-viː	SUFFIX_NONE	NULL	t.v	2	2	2	49438
TV's	TV	ˌtiː.ˈviːz	t-tiː,v-viː,'-,s-z	SUFFIX_ADD	's	t.v's	4	4	2	49438
TVs	TV	ˌtiː.ˈviːz	t-tiː,v-viː,s-z	SUFFIX_ADD	s	t.vs	3	3	2	49438
Thanksgiving	Thanksgiving	θænks.ˈɡɪv.ɪŋ	th-θ,a-æ,n-n,k-k,s-s,g-ɡ,i-ɪ,v-v,i-ɪ,ng-ŋ	SUFFIX_NONE	NULL	thanks.giv.ing	12	10	3	5859
United	United	juː.ˈnaɪ.tɪd	u-juː,n-n,i-aɪ,t-t,e-ɪ,d-d	SUFFIX_NONE	NULL	u.ni.ted	6	6	3	26396
a	a	eɪ	a-eɪ	SUFFIX_NONE	NULL	a	1	1	1	10144200
abandon	abandon	ə.ˈbæn.dən	a-ə,b-b,a-æ,n-n,d-d,o-ə,n-n	SUFFIX_NONE	NULL	a.ban.don	7	7	3	15323
abandoned	abandon	ə.ˈbæn.dənd	a-ə,b-b,a-æ,n-n,d-d,o-ə,n-n,ed-d	SUFFIX_ADD	ed	a.ban.doned	9	8	3	15323
abandoning	abandon	ə.ˈbæn.dən.ɪŋ	a-ə,b-b,a-æ,n-n,d-d,o-ə,n-n,i-ɪ,ng-ŋ	SUFFIX_ADD	ing	a.ban.don.ing	10	9	4	15323
abandons	abandon	ə.ˈbæn.dənz	a-ə,b-b,a-æ,n-n,d-d,o-ə,n-n,s-z	SUFFIX_ADD	s	a.ban.dons	8	8	3	15323
