#ΛΕΞΗ	ΛΗΜΜΑ	Μ.τ.Λ.	ΧΑΡΑΚΤΗΡΙΣΜΟΙ
θύμωσε	θυμώνω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
όμορφο	όμορφος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
ελληνικό	ελληνικός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
αγοράσετε	αγοράζω	ρήμα	ενεργητική, αόριστος, υποτακτική, πληθυντικός, 2ο πρόσωπο
ορμή	ορμή	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ταξίδι	ταξίδι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
μην	μη	 μόριο	 
φανάρι	φανάρι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
όμορφη	όμορφος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
βάθη	βάθος	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
ουρανού	ουρανός	ουσιαστικό	αρσενικό, ενικός, γενική
λιτότητα	λιτότητα	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
εσωτερικό	εσωτερικός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
ησυχάστε	ησυχάζω	ρήμα	ενεργητική, αόριστος, προστακτική, πληθυντικός, 2ο πρόσωπο
διονυσία			
διατηρούν	διατηρώ	ρήμα	ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
βάλανε			
συνέχιζε	συνεχίζω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, ενεστώτας, προστακτική, ενικός, 2ο πρόσωπο
γλιστερή	γλιστερός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
νερά	νερό	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
συγγενή	συγγενής	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
	συγγενής	επίθετο	θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			αρσενικό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			αρσενικό, ενικός, κλητική
